No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
603,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,2.433.379.958,Pemantauan Khusus
604,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,5.958.750.000,Pemantauan Khusus
605,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.206,Pemantauan Khusus
606,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,1.082.575.738,Pengembangan
607,FITT,Hotel Fitra International Tbk.,11 Jun 2019,1.304.272.051,Pengembangan
608,BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,6.000.000.000,Utama
609,CCSI,Communication Cable Systems In,18 Jun 2019,1.333.333.331,Pengembangan
610,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,1.359.934.021,Pengembangan
611,POLU,Golden Flower Tbk.,26 Jun 2019,750.000.000,Pengembangan
612,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,500.000.000,Pengembangan
613,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,665.000.000,Pemantauan Khusus
614,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,940.720.000,Pengembangan
615,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,3.125.000.000,Pengembangan
616,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,42.197.950.841,Pemantauan Khusus
617,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,418.000.000,Pengembangan
618,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,1.800.000.000,Pemantauan Khusus
619,EAST,Eastparc Hotel Tbk.,09 Jul 2019,4.126.405.336,Pengembangan
620,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,2.100.000.000,Pengembangan
621,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,1.300.000.000,Pengembangan
622,KOTA,DMS Propertindo Tbk.,09 Jul 2019,10.546.185.701,Pemantauan Khusus
623,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,1.808.221.900,Pengembangan
624,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pemantauan Khusus
625,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,3.418.085.290,Pengembangan
626,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,1.524.680.000,Pemantauan Khusus
627,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama
628,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,5.591.980.103,Pemantauan Khusus
629,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,1.666.666.500,Pengembangan
630,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,12.111.376.157,Pemantauan Khusus
631,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,Pengembangan
632,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,Pengembangan
633,SLIS,Gaya Abadi Sempurna Tbk.,07 Okt 2019,2.463.337.014,Pengembangan
634,PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.375.181.505,Pemantauan Khusus
635,IRRA,Itama Ranoraya Tbk.,15 Okt 2019,1.600.000.000,Pengembangan
636,DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,7.692.307.700,Pengembangan
637,SINI,Singaraja Putra Tbk.,08 Nov 2019,481.000.000,Pemantauan Khusus
638,WOWS,Ginting Jaya Energi Tbk.,08 Nov 2019,2.475.720.000,Pemantauan Khusus
639,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,1.109.953.847,Pemantauan Khusus
640,TEBE,Dana Brata Luhur Tbk.,18 Nov 2019,1.285.000.000,Utama
641,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,5.624.999.999,Pengembangan
642,PSGO,Palma Serasih Tbk.,25 Nov 2019,18.850.000.000,Utama
643,AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,1.000.000.000,Pengembangan
644,IFSH,Ifishdeco Tbk.,05 Des 2019,2.125.000.000,Pengembangan
645,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pemantauan Khusus
646,IFII,Indonesia Fibreboard Industry ,10 Des 2019,9.412.000.000,Pengembangan
647,PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,13.755.600.000,Pengembangan
648,UCID,Uni-Charm Indonesia Tbk.,20 Des 2019,4.156.572.300,Utama
649,GLVA,Galva Technologies Tbk.,23 Des 2019,1.500.000.000,Pengembangan
650,PGJO,Tourindo Guide Indonesia Tbk.,08 Jan 2020,795.859.095,Akselerasi
651,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,18.197.283.760,Pengembangan
652,CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,2.050.000.000,Utama
653,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,4.480.741.638,Pengembangan
654,AMOR,Ashmore Asset Management Indon,14 Jan 2020,2.222.222.400,Pengembangan
655,TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,4.551.457.347,Pengembangan
656,DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,9.468.359.000,Pengembangan
657,PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,6.301.930.902,Pemantauan Khusus
658,PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan
659,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,1.200.000.696,Pemantauan Khusus
660,IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,833.333.000,Pengembangan
661,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,10.250.000.000,Utama
662,SBAT,Sejahtera Bintang Abadi Textil,08 Apr 2020,4.752.982.378,Pemantauan Khusus
663,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.002.603,Pemantauan Khusus
664,CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,1.875.000.000,Pemantauan Khusus
665,RONY,Aracord Nusantara Group Tbk.,09 Apr 2020,1.250.000.000,Pengembangan
666,CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,816.061.500,Pengembangan
667,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4.800.016.020,Pengembangan
668,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,5.000.000.000,Pengembangan
669,CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,1.431.125.517,Akselerasi
670,TECH,Indosterling Technomedia Tbk.,04 Jun 2020,1.256.300.000,Pengembangan
671,EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,3.303.400.000,Pemantauan Khusus
672,UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan
673,PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,5.737.848.882,Pengembangan
674,SOFA,Boston Furniture Industries Tb,07 Jul 2020,1.653.574.499,Akselerasi
675,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,771.178.020,Akselerasi
676,TOYS,Sunindo Adipersada Tbk.,06 Agt 2020,1.435.000.712,Pemantauan Khusus
677,SGER,Sumber Global Energy Tbk.,10 Agt 2020,15.586.909.438,Utama
678,TRJA,Transkon Jaya Tbk.,27 Agt 2020,1.510.200.000,Pengembangan
679,PNGO,Pinago Utama Tbk.,31 Agt 2020,781.250.000,Utama
680,SCNP,Selaras Citra Nusantara Perkas,07 Sep 2020,2.500.000.000,Pengembangan
681,BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,3.637.976.068,Utama
682,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,800.000.000,Pengembangan
683,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
684,SOHO,Soho Global Health Tbk.,08 Sep 2020,12.691.682.390,Pengembangan
685,HOMI,Grand House Mulia Tbk.,10 Sep 2020,1.575.000.000,Pengembangan
686,ROCK,Rockfields Properti Indonesia ,10 Sep 2020,1.435.185.100,Pemantauan Khusus
687,ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,2.162.547.122,Pemantauan Khusus
688,PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,896.709.596,Akselerasi
689,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pemantauan Khusus
690,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1.250.000.000,Pemantauan Khusus
691,VICI,Victoria Care Indonesia Tbk.,17 Des 2020,6.708.000.000,Utama
692,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2.588.300.000,Pengembangan
693,WIFI,Solusi Sinergi Digital Tbk.,30 Des 2020,5.308.549.015,Pengembangan
694,FAPA,FAP Agri Tbk.,04 Jan 2021,3.629.411.800,Pengembangan
695,DCII,DCI Indonesia Tbk.,06 Jan 2021,2.383.745.900,Pengembangan
696,KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,2.841.262.838,Pengembangan
697,DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,1.250.000.000,Pengembangan
698,UFOE,Damai Sejahtera Abadi Tbk.,01 Feb 2021,2.898.261.693,Pengembangan
699,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,14.621.943.706,Pengembangan
700,WMUU,Widodo Makmur Unggas Tbk.,02 Feb 2021,12.941.176.500,Pemantauan Khusus
701,EDGE,Indointernet Tbk.,08 Feb 2021,2.020.250.000,Pengembangan
702,UNIQ,Ulima Nitra Tbk.,08 Mar 2021,3.138.983.000,Utama
703,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,45.000.000.000,Pemantauan Khusus
704,SNLK,Sunter Lakeside Hotel Tbk.,29 Mar 2021,450.000.000,Pengembangan
705,ZYRX,Zyrexindo Mandiri Buana Tbk.,30 Mar 2021,1.333.334.556,Pengembangan
706,LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,1.307.734.937,Akselerasi
707,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,400.000.975,Pemantauan Khusus
708,TAPG,Triputra Agro Persada Tbk.,12 Apr 2021,19.852.540.000,Utama
709,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,3.240.235.840,Pengembangan
710,LUCY,Lima Dua Lima Tiga Tbk.,05 Mei 2021,1.514.773.893,Akselerasi
711,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan
712,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.130.360.203,Pemantauan Khusus
713,MGLV,Panca Anugrah Wisesa Tbk.,08 Jun 2021,1.904.883.411,Akselerasi
714,TRUE,Triniti Dinamik Tbk.,10 Jun 2021,7.571.107.860,Pemantauan Khusus
715,LABA,Green Power Group Tbk.,10 Jun 2021,1.103.402.553,Pengembangan
716,ARCI,Archi Indonesia Tbk.,28 Jun 2021,24.835.000.000,Pemantauan Khusus
717,IPAC,Era Graharealty Tbk.,30 Jun 2021,949.868.500,Akselerasi
718,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,1.387.737.233,Pengembangan
719,BMHS,Bundamedik Tbk.,06 Jul 2021,8.603.416.176,Utama
720,FLMC,Falmaco Nonwoven Industri Tbk.,08 Jul 2021,781.250.000,Akselerasi
721,NICL,PAM Mineral Tbk.,09 Jul 2021,10.635.644.907,Pengembangan
722,UVCR,Trimegah Karya Pratama Tbk.,27 Jul 2021,2.000.144.838,Pengembangan
723,BUKA,Bukalapak.com Tbk.,06 Agt 2021,103.139.380.867,Ekonomi Baru
724,HAIS,Hasnur Internasional Shipping ,01 Sep 2021,2.626.250.000,Pengembangan
725,OILS,Indo Oil Perkasa Tbk.,06 Sep 2021,454.056.563,Pengembangan
726,GPSO,Geoprima Solusi Tbk.,06 Sep 2021,666.741.103,Pengembangan
727,MCOL,Prima Andalan Mandiri Tbk.,07 Sep 2021,3.555.560.000,Utama
728,RSGK,Kedoya Adyaraya Tbk.,08 Sep 2021,929.675.000,Pemantauan Khusus
729,RUNS,Global Sukses Solusi Tbk.,08 Sep 2021,983.557.875,Akselerasi
730,SBMA,Surya Biru Murni Acetylene Tbk,08 Sep 2021,929.926.282,Pengembangan
731,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,17.125.504.000,Pengembangan
732,GTSI,GTS Internasional Tbk.,08 Sep 2021,15.819.142.767,Pemantauan Khusus
733,IDEA,Idea Indonesia Akademi Tbk.,09 Sep 2021,1.062.437.500,Akselerasi
734,KUAS,Ace Oldfields Tbk.,25 Okt 2021,1.292.808.150,Pengembangan
735,BOBA,Formosa Ingredient Factory Tbk,01 Nov 2021,1.155.750.000,Pengembangan
736,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,83.559.636.344,Utama
737,DEPO,Caturkarda Depo Bangunan Tbk.,25 Nov 2021,6.790.000.000,Pengembangan
738,BINO,Perma Plasindo Tbk.,25 Nov 2021,2.275.316.111,Pengembangan
739,CMRY,Cisarua Mountain Dairy Tbk.,06 Des 2021,7.934.683.000,Utama
740,WGSH,Wira Global Solusi Tbk.,06 Des 2021,1.042.500.000,Akselerasi
741,TAYS,Jaya Swarasa Agung Tbk.,06 Des 2021,1.098.920.000,Pengembangan
742,WMPP,Widodo Makmur Perkasa Tbk.,06 Des 2021,29.419.000.000,Pemantauan Khusus
743,RMKE,RMK Energy Tbk.,07 Des 2021,4.375.000.000,Utama
744,OBMD,OBM Drilchem Tbk.,08 Des 2021,805.992.931,Pengembangan
745,AVIA,Avia Avian Tbk.,08 Des 2021,61.953.555.600,Utama
746,IPPE,Indo Pureco Pratama Tbk.,09 Des 2021,4.600.000.000,Pemantauan Khusus
747,NASI,Wahana Inti Makmur Tbk.,13 Des 2021,807.400.000,Pengembangan
748,BSML,Bintang Samudera Mandiri Lines,16 Des 2021,1.850.225.000,Pengembangan
749,DRMA,Dharma Polimetal Tbk.,20 Des 2021,4.705.882.300,Utama
750,ADMR,Alamtri Minerals Indonesia Tbk,03 Jan 2022,40.882.331.500,Utama
751,SEMA,Semacom Integrated Tbk.,10 Jan 2022,1.347.258.842,Pengembangan
752,ASLC,Autopedia Sukses Lestari Tbk.,25 Jan 2022,12.746.354.780,Pengembangan
753,NETV,MDTV Media Technologies Tbk.,26 Jan 2022,41.360.517.722,Pengembangan
754,BAUT,Mitra Angkasa Sejahtera Tbk.,28 Jan 2022,4.800.182.969,Pemantauan Khusus
755,ENAK,Champ Resto Indonesia Tbk.,08 Feb 2022,2.166.666.800,Pengembangan
756,NTBK,Nusatama Berkah Tbk.,09 Feb 2022,2.700.064.877,Pengembangan
757,SMKM,Sumber Mas Konstruksi Tbk.,09 Mar 2022,1.253.000.000,Akselerasi
758,STAA,Sumber Tani Agung Resources Tb,10 Mar 2022,10.903.372.600,Utama
759,NANO,Nanotech Indonesia Global Tbk.,10 Mar 2022,4.285.440.269,Akselerasi
760,BIKE,Sepeda Bersama Indonesia Tbk.,21 Mar 2022,1.293.916.404,Pengembangan
761,WIRG,WIR ASIA Tbk.,04 Apr 2022,11.938.622.394,Pengembangan
762,SICO,Sigma Energy Compressindo Tbk.,08 Apr 2022,910.077.764,Pengembangan
763,GOTO,GoTo Gojek Tokopedia Tbk.,11 Apr 2022,1.140.573.267.220,Ekonomi Baru
764,TLDN,Teladan Prima Agro Tbk.,12 Apr 2022,12.946.530.200,Pengembangan
765,MTMH,Murni Sadar Tbk.,20 Apr 2022,2.068.526.950,Utama
766,WINR,Winner Nusantara Jaya Tbk.,25 Apr 2022,5.235.316.030,Pemantauan Khusus
767,IBOS,Indo Boga Sukses Tbk.,25 Apr 2022,8.065.789.529,Akselerasi
768,OLIV,Oscar Mitra Sukses Sejahtera T,17 Mei 2022,1.900.073.314,Akselerasi
769,ASHA,Cilacap Samudera Fishing Indus,27 Mei 2022,5.000.000.000,Pemantauan Khusus
770,SWID,Saraswanti Indoland Developmen,07 Jul 2022,5.385.019.201,Pengembangan
771,TRGU,Cerestar Indonesia Tbk.,08 Jul 2022,7.945.412.700,Utama
772,ARKO,Arkora Hydro Tbk.,08 Jul 2022,2.928.495.000,Pengembangan
773,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,1.700.014.594,Pengembangan
774,DEWI,Dewi Shri Farmindo Tbk.,18 Jul 2022,2.000.000.000,Pengembangan
775,AXIO,Tera Data Indonusa Tbk.,20 Jul 2022,5.840.126.500,Pengembangan
776,KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Jul 2022,1.663.943.474,Pengembangan
777,HATM,Habco Trans Maritima Tbk.,26 Jul 2022,8.680.000.000,Utama
778,RCCC,Utama Radar Cahaya Tbk.,02 Agt 2022,787.500.000,Akselerasi
779,GULA,Aman Agrindo Tbk.,03 Agt 2022,1.070.362.500,Pengembangan
780,JARR,Jhonlin Agro Raya Tbk.,04 Agt 2022,9.230.665.050,Utama
781,AMMS,Agung Menjangan Mas Tbk.,04 Agt 2022,1.226.754.923,Akselerasi
782,RAFI,Sari Kreasi Boga Tbk.,05 Agt 2022,3.128.140.475,Pemantauan Khusus
783,KKES,Kusuma Kemindo Sentosa Tbk.,08 Agt 2022,1.500.000.000,Pemantauan Khusus
784,ELPI,Pelayaran Nasional Ekalya Purn,08 Agt 2022,7.412.000.000,Utama
785,EURO,Estee Gold Feet Tbk.,08 Agt 2022,2.548.826.428,Akselerasi
786,KLIN,Klinko Karya Imaji Tbk.,09 Agt 2022,1.307.530.330,Akselerasi
787,TOOL,Rohartindo Nusantara Luas Tbk.,09 Agt 2022,2.050.020.320,Pengembangan
788,BUAH,Segar Kumala Indonesia Tbk.,09 Agt 2022,1.000.000.000,Pengembangan
789,CRAB,Toba Surimi Industries Tbk.,10 Agt 2022,1.950.000.000,Pengembangan
790,MEDS,Hetzer Medical Indonesia Tbk.,10 Agt 2022,1.562.500.000,Pengembangan
791,COAL,Black Diamond Resources Tbk.,07 Sep 2022,6.250.000.000,Pemantauan Khusus
792,PRAY,Famon Awal Bros Sedaya Tbk.,08 Nov 2022,13.959.422.300,Pengembangan
793,CBUT,Citra Borneo Utama Tbk.,08 Nov 2022,3.125.000.000,Pengembangan
794,BELI,Global Digital Niaga Tbk.,08 Nov 2022,133.863.950.989,Ekonomi Baru
795,MKTR,Menthobi Karyatama Raya Tbk.,08 Nov 2022,12.052.401.122,Utama
796,OMED,Jayamas Medica Industri Tbk.,08 Nov 2022,27.058.850.000,Utama
797,BSBK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,25.091.882.375,Pengembangan
798,PDPP,Primadaya Plastisindo Tbk.,09 Nov 2022,3.061.341.438,Utama
799,KDTN,Puri Sentul Permai Tbk.,09 Nov 2022,1.250.023.298,Pengembangan
800,ZATA,Bersama Zatta Jaya Tbk.,10 Nov 2022,8.496.000.000,Pemantauan Khusus
801,NINE,Techno9 Indonesia Tbk.,05 Des 2022,2.157.000.000,Akselerasi
802,MMIX,Multi Medika Internasional Tbk,06 Des 2022,2.400.212.690,Pengembangan
803,PADA,Personel Alih Daya Tbk.,08 Des 2022,3.150.000.000,Pemantauan Khusus
804,ISAP,Isra Presisi Indonesia Tbk.,09 Des 2022,4.020.108.524,Akselerasi
805,VTNY,Venteny Fortuna International ,15 Des 2022,6.265.193.445,Pengembangan
806,SOUL,Mitra Tirta Buwana Tbk.,06 Jan 2023,1.082.526.223,Akselerasi
807,ELIT,Data Sinergitama Jaya Tbk.,06 Jan 2023,2.031.643.057,Pengembangan
808,BEER,Jobubu Jarum Minahasa Tbk.,06 Jan 2023,4.000.000.000,Pengembangan
809,CBPE,Citra Buana Prasida Tbk.,06 Jan 2023,1.356.250.000,Pengembangan
810,SUNI,Sunindo Pratama Tbk.,09 Jan 2023,2.500.000.000,Utama
811,CBRE,Cakra Buana Resources Energi T,09 Jan 2023,4.538.067.441,Pemantauan Khusus
812,WINE,Hatten Bali Tbk.,10 Jan 2023,2.710.000.000,Pengembangan
813,BMBL,Lavender Bina Cendikia Tbk.,11 Jan 2023,1.030.080.995,Akselerasi
814,PEVE,Penta Valent Tbk.,24 Jan 2023,1.765.625.000,Pengembangan
815,LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,2.149.942.974,Pengembangan
816,FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,1.963.000.000,Pengembangan
817,NAYZ,Hassana Boga Sejahtera Tbk.,06 Feb 2023,2.550.011.472,Akselerasi
818,IRSX,Aviana Sinar Abadi Tbk.,07 Feb 2023,5.000.465.177,Pemantauan Khusus
819,PACK,Abadi Nusantara Hijau Investam,08 Feb 2023,1.597.398.988,Akselerasi
820,VAST,Vastland Indonesia Tbk.,08 Feb 2023,3.055.718.775,Pengembangan
821,CHIP,Pelita Teknologi Global Tbk.,08 Feb 2023,806.000.000,Akselerasi
822,HALO,Haloni Jane Tbk.,08 Feb 2023,5.650.023.784,Pengembangan
823,KING,Hoffmen Cleanindo Tbk.,16 Feb 2023,2.600.692.903,Akselerasi
824,PGEO,Pertamina Geothermal Energy Tb,24 Feb 2023,41.508.024.149,Utama
825,FUTR,Futura Energi Global Tbk.,27 Feb 2023,6.635.551.959,Pengembangan
826,HILL,Hillcon Tbk.,01 Mar 2023,14.741.500.000,Utama
827,BDKR,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,4.725.101.522,Utama
828,PTMP,Mitra Pack Tbk.,06 Mar 2023,3.169.200.000,Pengembangan
829,SAGE,Saptausaha Gemilangindah Tbk.,08 Mar 2023,8.033.527.260,Pemantauan Khusus
830,TRON,Teknologi Karya Digital Nusa T,08 Mar 2023,2.951.328.448,Pengembangan
831,CUAN,Petrindo Jaya Kreasi Tbk.,08 Mar 2023,112.418.900.000,Utama
832,NSSS,Nusantara Sawit Sejahtera Tbk.,10 Mar 2023,23.801.568.645,Pengembangan
833,GTRA,Grahaprima Suksesmandiri Tbk.,30 Mar 2023,1.894.375.000,Pengembangan
834,HAJJ,Arsy Buana Travelindo Tbk.,05 Apr 2023,2.468.277.778,Akselerasi
835,PIPA,Multi Makmur Lemindo Tbk.,10 Apr 2023,3.426.097.190,Pemantauan Khusus
836,NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,63.098.600.000,Utama
837,MENN,Menn Teknologi Indonesia Tbk.,18 Apr 2023,1.434.052.006,Akselerasi
838,AWAN,Era Digital Media Tbk.,18 Apr 2023,3.435.000.000,Pengembangan
839,MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,107.995.419.900,Utama
840,RAAM,Tripar Multivision Plus Tbk.,08 Mei 2023,6.813.620.000,Utama
841,DOOH,Era Media Sejahtera Tbk.,08 Mei 2023,7.738.891.036,Pengembangan
842,JATI,Informasi Teknologi Indonesia ,08 Mei 2023,3.262.520.106,Pengembangan
843,TYRE,King Tire Indonesia Tbk.,08 Mei 2023,3.480.581.727,Pengembangan
844,MPXL,MPX Logistics International Tb,09 Mei 2023,2.000.014.587,Pengembangan
845,SMIL,Sarana Mitra Luas Tbk.,12 Mei 2023,8.751.668.239,Utama
846,KLAS,Pelayaran Kurnia Lautan Semest,12 Jun 2023,3.644.415.975,Pengembangan
847,MAXI,Maxindo Karya Anugerah Tbk.,12 Jun 2023,9.610.099.981,Pengembangan
848,VKTR,VKTR Teknologi Mobilitas Tbk.,19 Jun 2023,43.750.000.000,Pengembangan
849,RELF,Graha Mitra Asia Tbk.,22 Jun 2023,5.727.832.195,Akselerasi
850,AMMN,Amman Mineral Internasional Tb,07 Jul 2023,72.518.217.656,Utama
851,CRSN,Carsurin Tbk.,10 Jul 2023,2.892.000.000,Pengembangan
852,GRPM,Graha Prima Mentari Tbk.,10 Jul 2023,1.545.078.364,Akselerasi
853,WIDI,Widiant Jaya Krenindo Tbk.,10 Jul 2023,1.600.031.683,Akselerasi
854,TGUK,Platinum Wahab Nusantara Tbk.,10 Jul 2023,3.571.451.815,Pemantauan Khusus
855,INET,Sinergi Inti Andalan Prima Tbk,24 Jul 2023,8.408.626.310,Pengembangan
856,MAHA,Mandiri Herindo Adiperkasa Tbk,25 Jul 2023,16.666.000.000,Utama
857,RMKO,Royaltama Mulia Kontraktorindo,31 Jul 2023,1.250.000.000,Pengembangan
858,CNMA,Nusantara Sejahtera Raya Tbk.,02 Agt 2023,83.345.000.000,Utama
859,FOLK,Multi Garam Utama Tbk.,07 Agt 2023,3.948.141.464,Pengembangan
860,HBAT,Minahasa Membangun Hebat Tbk.,07 Agt 2023,1.040.740.800,Akselerasi
861,GRIA,Ingria Pratama Capitalindo Tbk,08 Agt 2023,7.375.720.674,Pengembangan
862,PPRI,Paperocks Indonesia Tbk.,08 Agt 2023,1.075.027.288,Pengembangan
863,ERAL,Sinar Eka Selaras Tbk.,08 Agt 2023,5.187.500.000,Utama
864,CYBR,ITSEC Asia Tbk.,08 Agt 2023,6.640.833.128,Pengembangan
865,MUTU,Mutuagung Lestari Tbk.,09 Agt 2023,3.142.949.210,Pengembangan
866,LMAX,Lupromax Pelumas Indonesia Tbk,09 Agt 2023,650.008.775,Akselerasi
867,HUMI,Humpuss Maritim Internasional ,09 Agt 2023,18.046.523.995,Pengembangan
868,MSIE,Multisarana Intan Eduka Tbk.,10 Agt 2023,1.460.007.754,Akselerasi
869,RSCH,Charlie Hospital Semarang Tbk.,28 Agt 2023,2.650.000.000,Pengembangan
870,BABY,Multitrend Indo Tbk.,07 Sep 2023,2.616.226.706,Pengembangan
871,AEGS,Anugerah Spareparts Sejahtera ,11 Sep 2023,1.006.080.721,Akselerasi
872,IOTF,Sumber Sinergi Makmur Tbk.,06 Okt 2023,5.290.298.067,Pengembangan
873,KOCI,Kokoh Exa Nusantara Tbk.,07 Okt 2023,4.415.595.598,Pengembangan
874,PTPS,Pulau Subur Tbk.,09 Okt 2023,2.167.514.856,Pengembangan
875,BREN,Barito Renewables Energy Tbk.,09 Okt 2023,133.786.220.000,Utama
876,STRK,Lovina Beach Brewery Tbk.,10 Okt 2023,10.721.835.562,Pengembangan
877,KOKA,Koka Indonesia Tbk.,11 Okt 2023,2.861.333.000,Pengembangan
878,LOPI,Logisticsplus International Tb,11 Okt 2023,1.100.011.289,Akselerasi
879,UDNG,Agro Bahari Nusantara Tbk.,31 Okt 2023,1.750.040.072,Akselerasi
880,RGAS,Kian Santang Muliatama Tbk.,08 Nov 2023,1.459.234.110,Pengembangan
881,MSTI,Mastersystem Infotama Tbk.,08 Nov 2023,3.139.416.200,Utama
882,IKPM,Ikapharmindo Putramas Tbk.,08 Nov 2023,1.684.662.500,Pengembangan
883,AYAM,Janu Putra Sejahtera Tbk.,30 Nov 2023,4.000.000.000,Pengembangan
884,SURI,Maja Agung Latexindo Tbk.,07 Des 2023,6.334.375.000,Pengembangan
885,ASLI,Asri Karya Lestari Tbk.,05 Jan 2024,6.250.000.000,Pengembangan
886,CGAS,Citra Nusantara Gemilang Tbk.,08 Jan 2024,1.771.499.039,Pengembangan
887,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,6.082.020.000,Pengembangan
888,MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,5.882.352.900,Pengembangan
889,SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,2.328.153.048,Pengembangan
890,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3.469.194.306,Pengembangan
891,MANG,Manggung Polahraya Tbk.,11 Jan 2024,3.812.510.413,Akselerasi
892,GRPH,Griptha Putra Persada Tbk.,17 Jan 2024,1.000.000.000,Pengembangan
893,SMGA,Sumber Mineral Global Abadi Tb,30 Jan 2024,8.750.000.000,Pengembangan
894,UNTD,Terang Dunia Internusa Tbk.,07 Feb 2024,6.666.666.700,Pengembangan
895,TOSK,Topindo Solusi Komunika Tbk.,07 Feb 2024,4.375.277.300,Pengembangan
